0101100010		AC
0101100001		10000089
0101100000		1A
0101011111		1D
0101011110		89D8
0101011101		D2
0101011100		508D
0101011011		4A
0101011010		83C414
0101011001		DE
0101011000		8B75
0101010111		5E
0101010110		FEFF
0101010101		17
0101010100		26
0101010011		8B43
0101010010		4B
0101010001		ED
0101010000		CA
0101001111		0083C4
0101001110		9E
0101001101		9C
0101001100		A3
0101001011		2B
0101001010		FFB5
0101001001		5C
0101001000		19
0101000111		85F6
0101000110		D3
0101000101		0001
0101000100		56E8
0101000011		FF35
0101000010		C705
0101000001		87
0101000000		6A006A
0100111111		6689
0100111110		83E0
0100111101		B5
0100111100		D1
0100111011		6F72
0100111010		0000008B
0100111001		BD
0100111000		7B
0100110111		DA
0100110110		0053
0100110101		D6
0100110100		E5
0100110011		656D
0100110010		B9
0100110001		71
0100110000		FF5A
0100101111		7474
0100101110		6A02
0100101101		CF
0100101100		3F
0100101011		100000
0100101010		DB
0100101001		85D2
0100101000		66C7
0100100111		23
0100100110		E1
0100100101		5DC3
0100100100		CE
0100100011		96
0100100010		00000021
0100100001		088B
0100100000		350000
0100011111		9D
0100011110		0075
0100011101		DF
0100011100		6C65
0100011011		D7
0100011010		E3
0100011001		0020
0100011000		3C2F
0100010111		0003
0100010110		7465
0100010101		31C08B
0100010100		7A
0100010011		0050
0100010010		83C0
0100010001		CB
0100010000		506A
0100001111		D9
0100001110		6564
0100001101		8F
0100001100		894D
0100001011		0200
0100001010		FF89
0100001001		6E74
0100001000		2A
0100000111		31DB
0100000110		B7
0100000101		000000C7
0100000100		000000EB
0100000011		89C6
0100000010		57E8
0100000001		696E
0100000000		2000
0011111111		B2
0011111110		FFFFFFFF
0011111101		0600
0011111100		006A
0011111011		00FF
0011111010		93
0011111001		6173
00111110001		000000000000000000
00111110000		8B450C
00111101111		FF7508
00111101110		8D85
00111101101		FF58
00111101100		0F94
00111101011		89C2
00111101010		807D
00111101001		AF
00111101000		2066
00111100111		C743
00111100110		3600E8
00111100101		1818
00111100100		7265
00111100011		8E
00111100010		7374
00111100001		FFFF5A
00111100000		DD
00111011111		89F0
00111011110		FD
00111011101		0C8B
00111011100		6A0068
00111011011		A6
00111011010		656E
00111011001		89E5
00111011000		B6
00111010111		00E8
00111010110		FF750C
00111010101		6A04
00111010100		27
00111010011		000F
00111010010		83C4
00111010001		83FA
00111010000		A2
00111001111		0000008D
00111001110		616D
00111001101		7373
00111001100		6A10
00111001011		C605
00111001010		00008B
00111001001		696C
00111001000		89C7
00111000111		7363
00111000110		45EC
00111000101		C645
00111000100		006A00
00111000011		08A1
00111000010		6E67
00111000001		008B
00111000000		6573
00110111111		91
00110111110		833D
00110111101		0041
00110111100		00EB
00110111011		6574
00110111010		A9
00110111001		6520
00110111000		3315
00110110111		85FF
00110110110		97
00110110101		350001
00110110100		FF73
00110110011		585A
00110110010		31F6
00110110001		0900
00110110000		83BD
00110101111		8D65
00110101110		FFFF8B
00110101101		FF59
00110101100		02000000
00110101011		AE
00110101010		5DFC
00110101001		8B95
00110101000		D5
00110100111		AA
00110100110		50FF
00110100101		9F
00110100100		0500
00110100011		84C0
00110100010		AB
00110100001		2022
00110100000		803D
00110011111		000000E9
00110011110		45E4
00110011101		83E2
00110011100		FF6A
00110011011		92
00110011010		FFFF83
00110011001		7372
00110011000		6163
00110010111		8B46
00110010110		7508
00110010101		C5
00110010100		0C00
00110010011		000083
00110010010		2063
00110010001		6D61
00110010000		7510
00110001111		99
00110001110		1089
00110001101		00000089
00110001100		5068
00110001011		0F87
