011001010		83EC
011001001		BB
011001000		19
011000111		35
011000110		D2
011000101		FFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
011000100		23
0110000111		5B5E5F
0110000110		2C20
0110000101		5DC35589E557
0110000100		83E0
0110000011		89C6
0110000010		E5
0110000001		A3
0110000000		2022
0101111111		FFFFFFC1
0101111110		3A
0101111101		4C00
0101111100		17
0101111011		13
0101111010		020000
0101111001		088B
0101111000		D4
0101110111		EF
0101110110		2D
0101110101		32
0101110100		F1
0101110011		565383
0101110010		DA
0101110001		BE
0101110000		3F
0101101111		6C61
0101101110		4B
0101101101		D6
0101101100		7D
0101101011		12
0101101010		F3
0101101001		89E5
0101101000		4F
0101100111		F033
0101100110		DB
0101100101		0C10000089
0101100100		94
0101100011		8955
0101100010		4A
0101100001		FFFFFF8B
0101100000		9D
0101011111		5E
0101011110		31D2
0101011101		1E
0101011100		5DE9
0101011011		36
0101011010		FDFFFF
0101011001		E2
0101011000		85DB
0101010111		82
0101010110		65F8
0101010101		37
0101010100		F5
0101010011		6F6E
0101010010		87
0101010001		BF
0101010000		1A
0101001111		6A006A
0101001110		DF
0101001101		7E
0101001100		1F
0101001011		E6
0101001010		7469
0101001001		CB
0101001000		CF
0101000111		0074
0101000110		2F
0101000101		89D8
0101000100		0100
0101000011		6A02
0101000010		0C8B
0101000001		3E
0101000000		83C414
0100111111		8B95
0100111110		85D2
0100111101		BD
0100111100		D9
0100111011		56E8
0100111010		C9C35589
0100111001		8E
0100111000		1D
0100110111		99
0100110110		414E
0100110101		7F
0100110100		CE
0100110011		574C
0100110010		AA
0100110001		2A
0100110000		696C
0100101111		833D
0100101110		83FA
0100101101		FD
0100101100		91
0100101011		FF7508
0100101010		E3
0100101001		0600
0100101000		508D
0100100111		2B
0100100110		DE
0100100101		8B03
0100100100		26
0100100011		96
0100100010		0000008B
0100100001		668B
0100100000		5589E5
0100011111		D7
0100011110		00E8
0100011101		86
0100011100		585A
0100011011		B5
0100011010		DD
0100011001		6800
0100011000		2E2E
0100010111		7508
0100010110		6976
0100010101		000080
0100010100		62
0100010011		05E8
0100010010		7574
0100010001		E1
0100010000		8D65
0100001111		AD
0100001110		6564
0100001101		B9
0100001100		006A
0100001011		89D0
0100001010		506A
0100001001		4304
0100001000		E7
0100000111		C9C3
0100000110		8F
0100000101		5589E557
0100000100		000000EB
0100000011		C1E0
0100000010		83E2
0100000001		0F94
0100000000		8985
0011111111		7B
0011111110		10000089
0011111101		89F0
0011111100		83C0
0011111011		85F6
0011111010		A2
0011111001		89C7
00111110001		000000000000000000
00111110000		5DC355
00111101111		000089
00111101110		C743
00111101101		45EC
00111101100		6A10
00111101011		0001
00111101010		A10C
00111101001		27
00111101000		0C89
00111100111		E00A
00111100110		8B450C
00111100101		F7FF
00111100100		7276
00111100011		B6
00111100010		5F5D
00111100001		020080
00111100000		A5
00111011111		750C
00111011110		71
00111011101		7265
00111011100		??????
00111011011		AF
00111011010		3030
00111011001		6669
00111011000		7A
00111010111		7465
00111010110		620500
00111010101		0068
00111010100		C5
00111010011		6578
00111010010		0008
00111010001		0800
00111010000		9B
00111001111		0000008D
00111001110		6A04
00111001101		C740
00111001100		6A06
00111001011		C418
00111001010		040000
00111001001		6C65
00111001000		00FF
00111000111		45F4
00111000110		66C7
00111000101		89C2
00111000100		6A0068
00111000011		84C0
